id,Name,OpeningHour,ClosigHour
885,Eabox,7:23,15:37
886,Blogtag,6:21,18:48
887,Skaboo,6:44,19:56
888,Gabvine,7:29,14:00
889,Miboo,7:40,16:11
890,Fatz,6:58,14:59
891,Skyble,6:29,20:13
892,Demizz,7:48,15:16
893,Kwimbee,6:04,16:34
894,Quamba,6:48,12:45
895,Thoughtmix,7:06,16:28
896,Agivu,7:47,15:04
897,Ozu,7:50,18:06
898,Brainverse,7:54,12:05
899,Skilith,6:54,15:19
900,Linkbuzz,6:24,12:12
901,Fadeo,7:45,19:41
902,Thoughtbridge,6:53,15:00
903,Cogidoo,6:13,16:38
904,Avaveo,6:10,16:39
905,Skivee,6:31,20:31
906,Jayo,6:01,13:50
907,Blogspan,7:07,15:29
908,Vidoo,7:39,18:18
909,Eare,6:39,16:00
910,Riffwire,6:13,13:08
911,Yambee,6:26,18:40
912,Kazu,7:42,18:30
913,Quimm,7:43,15:32
914,Topdrive,7:20,16:25
915,Rhynoodle,7:30,17:34
916,Rooxo,6:39,20:42
917,Zoomzone,6:27,14:51
918,Tagopia,6:28,13:43
919,Wordpedia,6:09,20:25
920,Trudeo,7:03,18:18
921,Linkbridge,7:11,16:33
922,Skipstorm,6:18,16:15
923,Thoughtsphere,6:00,17:11
924,Twinte,6:38,15:36
925,Skimia,7:55,12:26
926,Voolith,7:09,15:43
927,Nlounge,6:04,15:47
928,Babbleopia,6:16,12:57
929,Trilith,6:33,14:44
930,Wikizz,7:46,17:20
931,Flashpoint,7:26,19:16
932,Quatz,6:07,16:12
933,Mynte,7:39,15:08
934,Yacero,7:07,18:54
935,Realpoint,7:28,12:49
936,Zoomdog,7:45,14:27
937,Lazzy,6:54,19:36
938,Twinte,7:22,19:47
939,Youbridge,7:45,18:34
940,Dablist,6:08,20:48
941,Twinte,6:12,16:46
942,Kwilith,6:32,15:55
943,Quatz,6:25,20:41
944,Realblab,7:16,13:50
945,Gigaclub,7:34,14:44
946,Ozu,6:53,19:52
947,Dabshots,6:52,17:05
948,Jaxworks,6:00,12:21
949,Trupe,7:15,19:36
950,Shuffledrive,7:25,15:58
951,Centidel,6:54,16:17
952,Realblab,7:55,18:58
953,Youspan,6:51,14:20
954,Linkbuzz,6:06,13:23
955,Trilith,7:08,14:39
956,Aimbu,6:09,19:42
957,Edgewire,7:18,17:55
958,Zooveo,6:08,13:52
959,Thoughtworks,6:59,18:34
960,Oyoyo,6:23,12:26
961,Tagtune,6:16,13:52
962,Skidoo,7:21,20:49
963,Ainyx,7:12,16:06
964,Jabbersphere,6:20,12:34
965,Vidoo,7:12,17:24
966,Kwideo,7:40,14:17
967,Tazz,7:01,13:55
968,Talane,7:43,14:03
969,Agivu,6:23,19:35
970,Plajo,7:38,13:51
971,Youopia,7:45,14:45
972,Voomm,6:40,19:07
973,Youspan,7:52,19:20
974,Jabbersphere,7:45,12:21
975,Topdrive,6:58,18:05
976,Mynte,6:26,16:44
977,Quire,7:16,16:58
978,Vipe,7:27,16:34
979,Mycat,7:15,15:58
980,Feedfish,7:01,18:59
981,Flipbug,6:38,19:00
982,Youtags,7:32,19:14
983,Jabbercube,6:18,17:40
984,Kamba,7:49,12:31
985,Shufflester,6:36,19:45
986,Ainyx,6:16,19:38
987,Wikizz,7:35,20:49
988,Jazzy,7:31,13:30
989,Rhynyx,7:00,15:02
990,Yata,6:49,19:51
991,Quamba,6:25,12:20
992,Mybuzz,7:30,14:27
993,Voonder,6:30,15:03
994,Flashspan,7:39,18:46
995,Linkbuzz,6:46,20:49
996,Wordpedia,6:39,12:16
997,Devcast,7:55,18:18
998,Reallinks,6:21,13:54
999,Buzzdog,7:26,20:17
1000,Demimbu,6:55,12:49
